id,query,answers
train_356,what is the fax number  mentioned in the letter at the top?,['06 6204 2244']
train_357,what is the date and time mentioned ?,['10/27/93 09:36:07']
train_358,what is mentioned in the subject ?,"['Pioglitazone statement', 'pioglitazone statement']"
train_359,To whom this email was send?,"['PETER J. DANIELS', 'PJ DANIEL--PW17PO PETER J. DANIELS']"
train_360,what is the date mentioned in the forwarding note ?,"['10/26/93', '10/26/93 15:44']"
train_361,what is the time mentioned in the forwarding note ?,['15:44']
train_362,To whom this email was forwaded?,"['RUPPEL, PATRICIA', 'PLRUPPEL--RCC1 RUPPEL, PATRICIA']"
train_363,what is the name of the company,['THE UPJOHN COMPANY']
train_364,what is the date and year mentioned ?,"['September 21, 1993', 'september 21 , 1993']"
train_365,Which company is mentioned in the letterhead?,['THE UPJOHN COMPANY']
train_366,in which country the upjohn company is located ?,"['U.S.A', 'USA']"
train_367,what is the fax mentioned ?,['06 6204 2244']
train_368,what is year date and time mentioned?,['2002 08/08 21:49']
train_369,what is the name of the division ?,"['TAKEDA DEVELOP DIVISION', 'Takeda Develop division']"
train_370,"to whom they can ask directly to disclose the details of ""promotion study""?",['FDA']
train_371,what is the date mentioned in the  letter,"['8 January 2003', '8 january 2003']"
train_372,To whom this letter is addressed?,['MPDRAP I Leader']
train_373,what is mentioned in the CC?,"['CEOs and General Managers of Pharmaceutical Units', 'CEOs and general managers of pharmaceutical units']"
train_374,combination therapy in the us market accounts for how much % of total actos sales .,"['64', '64%']"
train_375,What is the due date to evaluate data from actos 507?,['August 5']
train_376,who is the lead responsibility for developing additional monitoring plan for actos 508,"['Amy Hagaman', 'Amy hagaman']"
train_377,"what is the due date for ""draft  justification for actos 508"" ?","['August 12', 'august 12']"
train_378,when was this  last updated ?,"['August 1, 2002', 'august 1, 2002']"
train_379,Which is the core organization of Takeda pharmaceutical Company?,"['Pharmaceutical development Division', 'Pharmaceutical Development Division']"
train_380,Who made the opening remarks ?,['Dr. Kitazawa']
train_381,When is the clinical expert meeting scheduled?,"['for October 1 and 2.', 'October 1 and 2']"
train_382,what is the date mentioned in the given information ?,"['20 April 2006', '20 april 2006']"
train_383,What is the meeting time mentioned here?,['4:00pm - 5:00pm']
train_384,what is the place mentioned ?,"['Meeting Room 403', 'meeting room 403']"
train_385,"Why was it suggested to prepare non-clinical ""White paper""?","['to address the bladder issue', 'to address the bladder issue.']"
train_386,who will forward the article regarding rosiglitazone and non clinical bladder data to andy ?,['Mondira']
train_387,What date is the meeting scheduled to develop the overall structure of the document?,['in early May']
train_388,Who presented an outline of the Cohen hypothesis?,['Philip Collett']
train_389,What is significant in the development of calculi?,['Raising the pH of male rat urine above 6.5']
train_390,What is the correlation observed in cohen's paper?,['0.61']
train_391,Why didn't rats eliminate calculi as humans do?,"['Because rats are quadropeds', 'Because rats are quadropeds.']"
train_392,What is the fullform of MAA?,['Marketing Authorization Application']
train_393,Which forum is mentioned in this document?,"['Takeda Global Risk Management Forum', 'Takeda Global Risk Management Forum/March 22, 2004']"
train_394,What is the issued date of this document?,"['august 13, 2002', 'August 13, 2002']"
train_395,Who is the Director of Nonclinical Safety and Efficacy?,"['David baron', 'David Baron']"
train_396,What is the duration of daily dosing?,"['32-weeks', '32-weeks after BBN.']"
train_397,Who updated the CEO on August 6?,['Mr. Saito']
train_398,By when should TPNA send outline of response to TCI ?,"['August 19', 'by August 19']"
train_399,When will Mr. Saito present outline to CEO?,"['August 20', 'on August 20']"
train_400,By when will the document be finalized?,"['August 26', 'by August 26']"
train_401,When will the FDA Conference Call be held?,"['July 31, 2002']"
train_402,What is the heading of the document?,['ACTOS FDA RESPONSE TASK FORCE-TPNA']
train_403,How many key issues does the FDA have with respect to the non-clinical data related to bladder tumors?,"['The FDA has 3 key issues with respect to the non-clinical data related to bladder tumors.', '3']"
train_404,What plan is developed by TPNA?,"['TPNA will develop monitoring plan.', 'monitoring plan']"
train_405,What is TPNA's goal?,['is to supply justification to support maintaining current labeling.']
train_406,When was this document last updated?,"['August 1, 2002']"
train_407,What is the Draft's Due Date?,['August 5']
train_408,Which benefit start after 1 year of service?,"['Extended Disability', 'extended disability']"
train_409,What is Ms Wakamatsu's role in Dept. Strategic Development?,"['Assistant manager', 'Assistant Manager']"
train_410,Which drug's toxicity study results will be discussed ?,['pioglitazone']
train_411,How many pages are there in total as part of this document?,['7']
train_412,Who challenged authorities regrading implementing monitoring plan?,['Takeda Europe']
train_413,What content is high in male rat urine?,"['protein', 'protien content']"
train_414,What kind of meeting is mentioned in this letter?,['ACTOS FDA RESPONSE MEETING']
train_415,what kind of drug is used to treat the group of rats?,"['Pioglitazone', 'pioglitazone']"
train_416,"In the rat oncogenicity study, what was observed in male rats?",['thickening of the bladder and hypertrophy of the urothelium']
train_417,What is the due date to conduct review meeting for FDA package?,['August 22']
train_418,What is the time span where no tumors are seen?,['shorter term (12 month)']
train_419,Who is the lead responsible person for the  compilation of FDA package?,['Larry Hancock']
train_420,"According to mouse oncogenicity study, what was seen male mice only?",['hyperplasia']
train_421,what kind of cell tumours experienced the same frequency when group of rats treated with pioglitazone?,"['transitional', 'transitional cell tumors']"
train_422,who conducted robust program?,['TCI']
train_423,Who is responsible for sending  package to TCI/EU for review?,['Mary Ramstack']
train_424,What is the due date for sending FDA Document to Regulatory Affairs?,['August 26']
train_425,What is the last updated date mentioned in this document?,"['August 1, 2002', 'August 1,  2002']"
train_426,Which product's liability claims are described here?,"['ACTOS PRODUCTS', 'ACTOS PRODUCTS LIABILITY CLAIMS']"
train_427,What is the date mentioned in this document at the bottom?,['1/11/2007']
train_428,"Mention the first name listed in the ""apologies""?",['Professor Ele Ferrannini']
train_429,What is the exhibit number?,['52']
train_430,when was  the last meeting/conference call held on ?,"['15th October 2005', '15 October 2005']"
train_431,What is the exhibit number?,['107']
train_432,"what is the date mentioned under the title - "" minutes of conference call""?","['Monday 28th November 2005', 'monday 28th november 2005', '28th November 2005']"
train_433,What is the heading of this document?,"['Rationale for 3 segments', 'Rationale for 3 Segments']"
train_434,what is the title of chapter 3?,"['Document Storage Period', 'document storage period']"
train_435,What is the graphical representation about?,['Summary of Segment Attractiveness']
train_436,"On what basis, the Summary of Segment Attractiveness is carried out?","['based on current situation & future trends', 'Based on current situation & future trends.', 'current situation & future trends']"
train_437,What are the three segments indicated in the graph?,"['Treatment Machines, Life Negotiators, Struggle for Control']"
train_438,"what is the ""document storage period "" article number?","['7', 'Article 7']"
train_439,What is the conclusion obtained from the graph?,"['All 3 segments have consistent needs', 'All 3 Segments Have Consistent Needs.']"
train_440,mention the second point listed under the article 7(document storage period)?,"['To be stored for ten years', 'to be stored for ten years']"
train_441,Semi exclusive rights in how many countries?,"['20', '20 countries']"
train_442,What does article 5 in this document describes?,"['(principles concerning document storage functions)', 'principles concerning document storage functions']"
train_443,"In how many countires, license to Exclusive rights are provided?","['in approximately 60 countries', '60 COUNTRIES', '60']"
train_444,what is the name of pediatric program?,"['ACTOS', 'ACTOS PEDIATRIC PROGRAM']"
train_445,What is the date mentioned in this page?,['5 October 2006']
train_446,What is the title of this document?,['Consequences of IR']
train_447,What is the Plan TZD Share for the year 2003?,['19.7%']
train_448,Which year has 13.3% Oral share (TZD)?,['2000']
train_449,"which has a superior lipid profile(v. avandia and others) under the title of ""strength/opportunities?",['ACTOS']
train_450,Which study's synopsis is this?,"['Clinical Study', 'clinical']"
train_451,what is the code mentioned under the title of clinical study synopsis?,['01-06-TL-OPI-527']
train_452,What study is described in the table given?,"['Glycemic Parameters in a 26-Week Placebo-Controlled Dose-Ranging Study.', 'PLACEBO- CONTROLLED DOSE RANGING STUDY']"
train_453,Which parameters are considered for the study(see heading of table 2)?,"['Glycemic Parameters', 'GLYCEMIC']"
train_454,"Prior to what, the patients entered an 8 week washout/run-in-period?",['double-blind treatment']
train_455,What is the floor supply price?,"[""$0.17 / 30 mg or Takeda's cost from site of lowest cost""]"
train_456,What is the royalty adjustment if generic enters the market ?,"['50%', '50% royalty adjustment']"
train_457,what is the promotional trails data usage  for( Lilly in exclusive) ?,"['Split of 70/30 (Lilly in Exclusive)', 'split of 70/30 (Lilly in exclusive)', 'Split of 70/30']"
train_458,What is the promotional trials data usage for (semi exclusive)?,['50/50 in Semi-exclusive']
train_459,What is the last revision date mentioned in this document?,"['August 7, 2002']"
train_460,What is the goal of TPNA?,['to supply justification to support maintaining current labeling.']
train_461,Mention the year given for Actos?,"['2004', 'Actos  2004']"
train_462,what is the percentage of  TZD share in the year 2000 ?,['40.3%']
train_463,what is Actos TRx (000s) in the year 2003 ?,"['9,497']"
train_464,what is the percentage of plan TZD share in the year 2004 ?,['42.9%']
train_465,how much percent of placebo present in avandia alongside of the clinical findings?,"['0.20%', '0.20']"
train_466,what is the TZD's TRx (000s) in the year 2005 ?,"['22,902']"
train_467,"what is the total number of all claims under the title of ""summary of litigation risk in the ous territories""?",['10']
train_468,For which type of diabetes the TZD's prescribed earlier in treatment?,['Type 2 diabetes']
train_469,What is the Specific example given?,"['pioglitazone: need to commit to studies to investigate certain signals', 'Pioglitazone: Need to commit to studies to investigate certain signals']"
train_470,what is included in the summary document ?,"['includes benefit-risk assessment', 'benefit risk assessment', '(includes benefit-risk assessment)']"
train_471,what is the executive summary of bladder cancer cases ?,['CONFIRM']
train_472,Full form of PEM?,['prescription event monitoring']
train_473,"On the purpose of teleconference, how many topics were to be discussed?","['3', '3 topics']"
train_474,basically by whom the current action plan was approved ?,['CEO']
train_475,What is the date mentioned at the bottom?,['09/18/12']
train_476,"What is the heading of this document, given at the top?",['Avandamet Uptake']
train_477,What is the percentage of Avandamet scripts from Actos mentioned?,"['36%', '36']"
train_478,What is on the horizonal axis of the graph?,['Full Months Post Launch']
train_479,who is the responsible person for TPNA ?,['Dr. C Thom']
train_480,What is the date of randomisation?,"['05-11-01', '05/11/01']"
train_481,What is the patient number?,['014']
train_482,What is the heading of the table?,['Weight Changes (kg) from Baseline during Double-Blind Clinical Trials with ACTOS']
train_483,"what is the total number of drug claims under the title of ""summary  of litigation risk in the ous territories""?",['5']
train_484,What is  the number of patients ?,"['5,000']"
train_485,What is the date mentioned?,"['August 12-13, 2002']"
train_486,what is the date issued mentioned in the form ?,['22-04-04']
train_487,What is the Item that shows Person Responsible Bob Ahlbrandt will send to John?,['Add renal colic to clinical AE search']
train_488,What is the heading of the document?,['TPNA/TEUR&D/TCI ACTOS RESPONSE MEETING']
train_489,What is written just below the date?,['Action Item List/Document Timelines']
train_490,What is the BOP Number?,['CORP-B-019']
train_491,What is the Effective Date?,['05/01/2006']
train_492,What is the heading of the document?,['TPNA/TEUR&D/TCI ACTOS RESPONSE MEETING']
train_493,What is the date mentioned?,"['August 12-13, 2002']"
train_494,Which Procedures No is being decribed here?,['Procedures No. 19']
train_495,how many targeted primary care physicians are included in these meetings ?,['350']
train_496,What is Article 4 in this document referred to?,['Disposal Record Ledger']
train_497,in which month and year eight regional market research consultants meetings were held ?,"['October and November 2001', 'october and november 2001']"
train_498,"In which Article, Persons In Charge of Retention is described?",['Article 2']
train_499,what are the challenges of ACTOS positive data?,"['small numbers in the studies, non-randomized, company-sponsored.']"
train_500,"In U.S. clinical trials, how many patients have received ACTOS?","['over 4700 patients', 'OVER 4700']"
train_501,What does alternate terms include?,['core therapy; cornerstone therapy; first-line.']
train_502,which is an effective and liver-safe agent accepted by the participants ?,['ACTOS']
train_503,what is an effective and trusted agent ?,"['Metformin', 'metformin']"
train_504,Which medicine is used for treating type 2 diabetes in over 5900 patients?,['ACTOS']
train_505,what are the most commonly mentioned reasons not to prescribe TZD's ?,"['1) Cost, 2) Edema/weight gain, and 3) Reimbursement.']"
train_506,in one ACTOS treatment group how much amount of initial dose is given to the patients daily ?,"['7.5 mg', '7.5 mg once daily']"
train_507,in a 24 week placebo controlled study how many patients with type 2 diabetes were randomized ?,"['260 patients', '260']"
train_508,What is the retention time period of monthly reports?,['30 years']
train_509,"in the second ACTOS treatment group,how much amount of initial dose patients should receive daily ?","['15 mg', '15 mg once daily']"
train_510,What does Attachment 1 describes?,"['List of Retention Periods of Time, Retention Locations']"
train_511,What is the retention time period of contracts?,['Permanently']
train_512,where participants seemed more cautious more resistant to the entire message?,"['In Boston', 'in Boston']"
train_513,What is the fullform of ARA?,['Alliance for Risk Assessment']
train_514,What is the date mentioned in this document?,['March 2017']
train_515,where were responses more strongly positive than in other cities?,"['In Philadelphia', 'in philadelphia (home of glaxosmithkline)']"
train_516,Who is the President of The Fertilizer Institute?,['Chris Jahn']
train_517,What is the exhibit number?,['39']
train_518,Roger Johnson is associated with which union?,['National Farmers Union']
train_519,What is the title of this document?,['CEO Council Members']
train_520,What is accepted as an effective glucose control agent?,['ACTOS']
train_521,"what is the subheading under the title of ""specific findings""?","['A. Reaction to IR Information', 'reaction to IR information', 'Reaction to IR Information']"
train_522,What is the date mentioned?,"['December, 2001']"
train_523,By whom was this document prepared?,"['C. Beck, LLC', 'C. Beck']"
train_524,What is the name of the Article 6?,['Self Inspection']
train_525,When was this document Enacted?,['2006 May 31']
train_526,When was the second revision?,['2011 April 26']
train_527,When was this document Revised first?,['2006 October 20']
train_528,When was the rule PROPOSED?,"['Jan. 19, 2017', 'JAN. 19, 2017']"
train_529,What is the name of the FOUNDATION this PROPOSAL belongs to?,"['Toxicology Education Foundation', 'TOXICOLOGY EDUCATION FOUNDATION']"
train_530,Who is the vice president of this FOUNDATION?,"['William Farland, PhD, ATS', 'William Farland']"
train_531,What is the date mentioned at the bottom?,['July 20th 2017']
train_532,Whose biography is this?,"['Christopher Jahn', 'CHRISTOPHER JAHN']"
train_533,What is the full form of TFI?,['The Fertilizer Institute']
train_534,For how many years did Christopher Jahn work for U.S. Senator Craig Thomas?,"['10', 'nearly 10 years', '10 years']"
train_535,What is the full form CSA?,['Contract Services Association']
train_536,Which number is lightly printed lower-right side of the document?,['22']
train_537,What is the name of the President of BOARD OF TRUSTEES?,"['Michael Leonard Dourson', 'Michael Leonard Dourson, PhD, DABT, ATS']"
train_538,To which university did William H. Farland belong to?,['Colorado State University']
train_539,What is the timing mentioned?,"['a one week turnaround, depending upon availability', 'Toxys offers a one week turnaround, depending upon availability']"
train_540,What is the Total Project Cost?,"['56,400']"
train_541,What is the heading of the budget table?,['For 5 Test Articles - Phase IB (definitive)']
train_542,What is the heading of the document?,['Thank You']
train_543,Who are the Publication co-authors?,"['Michael Dourson, Bernard Gadagbui, John Lowe and Rod Thompson']"
train_544,what is the full form of ppe?,"['Personal Protective Equipment', 'personal protective equipment']"
train_545,"what is the phone number for david bernzweig under the list of ""project technical panel""?",['614-774-7446']
train_546,what is the email id for bryan ormand under the list of 'project technical panel'?,['rbormond@ncsu.edu']
train_547,What is the fullform of TCE?,['Trichloroethylene']
train_548,How many scientists from multiple international organizations are invited?,['over 300 scientists']
train_549,What is the abbreviation of Alliance for Risk Assessment?,['ARA']
train_550,What does Figure 2 represents?,['Ah Receptor Activation - HIPS with and without FR']
train_551,What is the page no mentioned in this document?,['10']
train_552,Who has signed the document?,['E. Scott Pruitt']
train_553,What is the designation of E. Scott Pruitt?,['Administrator']
train_554,What does Figure 1 represents?,['Project Conceptual Approach']
train_555,What is the fullform of PPE?,['Personal Protective Equipment']
train_556,On which date is the senior steering committee meeting conducted?,"['Thursday August 17, 2017']"
train_557,At what time is the senior steering committee meeting scheduled ?,['1:00pm - 3:00pm EST']
train_558,between what timings the welcome is sheduled ?,"['1:00PM-1:03PM', '1:00pm-1:03pm']"
train_559,What is the last updated date mentioned in this document?,['5 February 2016']
train_560,What is the agenda between 1:03pm-1:05pm?,['Roll Call']
train_561,What time is the subcommittee updates discussed?,['1:10PM - 1:20PM']
train_562,what is the agenda between 1:40 pm-2:00 pm ?,"['Summary of Action Items', 'summary of action items']"
train_563,what is the passcode number ?,['202-564-2754']
train_564,Where is the senior steering committee meeting held?,['HHS Hubert Humphery building -Room 325A']
train_565,What is the fullform of NASDA?,"['National Association of State Departments of Agriculture', 'The National Association of State Departments of Agriculture']"
train_566,what is the given dail-in number ?,['1-866-299-3188']
train_567,what is the given location ?,"['New York, NY']"
train_568,who reviewed the overall objectives for the meeting ?,['K. White']
train_569,what are the units of BW ?,['kg']
train_570,what is NFSD?,"['Nordic Fire & Safety Days', 'nordic fire & safety days']"
train_571,what is kg mentioned as ?,['kilograms']
train_572,what is L/d mentioned as ?,"['Liters per day', 'liters per day']"
train_573,what is the value of conversion factor ?,"['1,000']"
train_574,what is RSC stands for ?,"['Relative Source Contribution', 'relative source contribution']"
train_575,what is the P&B score for persistent and bioaccumulative,['5']
train_576,what is TR stands for ?,"['Target Risk', 'target risk']"
train_577,what is the p&B ranking for not persistent and not bioaccumulative,"['Low', 'low']"
train_578,what is the unit of uncertainty factor ?,"['Unitless', 'unitless']"
train_579,what is the date mentioned in this invoice?,"['June 24, 2016']"
train_580,what is the total amount of the invoice?,"['$27,600.00']"
train_581,what is the exposure rank for the combined score-All 3 elements 11-13,"['High', 'high']"
train_582,When did NASDA submitted comments to EPA?,['January 2016']
train_583,which priority groups are deemed as  high priority groups?,"['priority groups 7,8, and 9']"
train_584,What does FR stand for?,['fire retardant']
train_585,What is the invoice# given?,['ACCTCESystemJul16']
train_586,which priority groups are deemed as medium priority groups?,"['priority groups 4,5, and 6']"
train_587,what is the use of fire retardant plastics?,"['Fire Retardant (FR) plastics are used in many products(toys, chairs, electronics, etc.) to reduce the risk of fire and burn hazards.']"
train_588,which priority groups are deemed as low priority groups ?,['Priority groups 2 and 3']
train_589,What is the issued date of this document?,"['March 29 2017', 'March 29 , 2017']"
train_590,in which year this data was published ?,['2011']
train_591,Who is the Louisiana Commissioner of Agriculture & Forestry?,['Dr. Mike Strain']
train_592,Who is mentioned in the CC:?,"['OCSPP senior staff Justina Fugh, Senior Counsel for Ethics']"
train_593,who is the CEO of National Association of Wheat Growers?,['Chandler Goule']
train_594,When did Chandler Goule assume his responsibilities as CEO?,"['on July 5, 2016.', 'July 5, 2016']"
train_595,What happens if enough flammable gas is produced ?,"['the battery casing can fail releasing the gas, which can potentially ignited surrounding materials and cause a fire.']"
train_596,What was Chandler Goule's position in national wheat foundation?,"['CEO', 'Executive Director']"
train_597,under which  safety act this is performed ?,['Launtenberg Chemical Safety Act']
train_598,what is the date mentioned in the given invoice ?,"['may 12,2017', 'May 12, 2017']"
train_599,what is the name of the foundation?,"['University Environmental Health Foundation', 'university environmental health foundation']"
train_600,what is the name of the university ?,"['University of Cincinnati', 'university of cincinnati']"
train_601,Earlier where did Goule worked as senior vice president of programs?,"['National Farmers Union', 'NFU', 'At National Farmers Union.']"
train_602,What is NFU?,"['National Farmers Union', 'National Farmers Union.']"
train_603,under which country  initial input to environmental protection agency is performed ?,"['U.S.', 'U.S']"
train_604,to whom the payment of checks to be done ?,['university environmental health foundation']
train_605,what is mentioned in the table content 1 ?,['Introduction and Executive Summary']
train_606,Where does Goule hail from?,['Texas']
train_607,when was this information published ?,"['August 29, 2011', 'august 29, 2011']"
train_608,Where does Goule holds degree from?,['Texas A&M and George Washington University']
train_609,what is an example for  risk -based screening prioritization process?,"[""ACC's prioritization approach""]"
train_610,When was he appointed as senior vice president of NFU programs?,['2014']
train_611,what is the total amount in the given invoice ?,"['$5,476.50']"
train_612,"when conducting screening for thousands of chemicals, EPA may not have access to what ?","['all available information', 'to all available information']"
train_613,ICR Stands for ?,"['Information Collection Request', 'information collection request']"
train_614,EPA is taking comment on ICR No ?,"['2559.01', '2559.01.']"
train_615,what is IPP stands for ?,"['International Personal Protection', 'international personal protection']"
train_616,what is NIOSH stands for ?,"['National Institute for Occupational Safety and Health', 'national institute for occupational safety and health']"
train_617,"for each manufacture request , EPA estimates that the burden on public will be how many hours ?",['96 hours']
train_618,Who is currently the President and CEO of the American Seed Trade Association?,"['Andrew W. ""Andy"" LaVigne', 'Andrew W. LaVigne', 'Andrew W.LaVigne']"
train_619,When Andrew W.LaVigne joined ASTA,"['February, 2006']"
train_620,What core areas of expertise include ?,"['agriculture, food policy and international trade', 'Agriculture, food policy and international trade']"
train_621,What does FFAA stands for ?,"['Florida Fertilizer and Agrichemical Association', ""Florida Fertilizer and Agrichemical Association's""]"
train_622,What is the Urgent/Immediate Action Commercial of Connecticut?,['8']
train_623,What is the Imminent Action Residential of Massachusetts ?,['20']
train_624,What is the Imminent Action Commercial of Ohio?,['60']
train_625,What is the p-Value of Gamma?,['0.75']
train_626,What is the Scaled Residual at Dose of LogLogistic?,['0.042']
train_627,What is the Visual Fit of Logistic?,"['acceptable', 'Acceptable']"
train_628,What is the Ratio BMD/BMDL of Multistage(1*)?,['1.5']
train_629,What is AIC of Weibull?,['223.1']
train_630,What is the Goal of this Workshop?,"['is to identify concepts and materials that are or can be useful to control the spread of harmful fire ground contaminants, ultimately in support of improved fire fighter long-term health.']"
train_631,What is the limit of Workshop attendance?,"['is limited to the first 50 attendees,']"
train_632,When is the Workshop?,['19-20 July 2017']
train_633,What is Section 6?,"['Disclosure statement', 'Disclosure Statement']"
train_634,How many days are the people granted to submit relevant information about that chemical?,['90 days']
train_635,Who must propose a designation of a chemical as a high or low priority?,"['EPA', 'The EPA']"
train_636,Who initiates priority designation?,['EPA']
train_637,How long is the public comment period?,"['90 day', '90 day public comment period']"
train_638,What email is provided at the bottom?,"['Sarah_Brozena@americanchemistry.com', 'Sarah_brozena@americanchemistry.com']"
train_639,What is the date on the document?,"['March 20, 2017']"
train_640,"Who is the Senior director, regulatory and technical affairs at American chemistry council?",['Sarah Brozena']
train_641,Post marketing surveillance(PMS) affiliates to which region?,['Spain']
train_642,The study based on collection of data from patient charts,['Observational Studies']
train_643,IITs stands for?,['Investigator Initiated Trials']
train_644,What is the fullform of ICR?,['Information Collection Request']
train_645,What does QSAR stands for?,"['Quantitative Structure Activity relationship', 'Quantitative structure activity relationship']"
train_646,what is page 3 heading,['Memorandum of Meeting']
train_647,Who gave a short discussion as to what her office is doing with respect to labeling?,['Ms. Williams']
train_648,It is hoped that each hearing will be in what length,"['one day', 'one day in length']"
train_649,who announced the schedule of hearings,"['Ms. Williams', 'Ms williams']"
train_650,What is the heading,['Research & Development Organization Chart']
train_651,"who is VP, Research & Development","['Dr. Claire Thom & Masatake Kashiyae', 'Dr Claire Thom & Masatake Kashiyae']"
train_652,"who is Director,Safety","['Dr. John Page', 'Dr John Page']"
train_653,Who is the sender of this email?,['TPNA News on behalf of tpna news']
train_654,What is the subject of this email?,['Important Takeda Legal Information Relating to Actos - 1st of 2']
train_655,what algorithm is mentioned in Table 1 heading,['MGPS** data mining algorithm']
train_656,when will I be available for telecon if deemed necessary,['tomorrow']
train_657,which version of disproportionality report was attached,"['updated', 'an updated version']"
train_658,which report is mentioned in the subject,['disproportionality report']
train_659,who retained a professional translator,['International Litigation Services']
train_660,"who is the managing director of international litigation services,Inc.",['Joseph Thorpe']
train_661,What is the fullform of ILS?,['INTERNATIONAL LITIGATION SERVICES']
train_662,What is the issued date of this letter?,"['June 15, 2006']"
train_663,What is the subject of the letter?,"['comments on proposed risk assessment bulletin', 'Comments on proposed risk assessment bulletin']"
train_664,What is ACC stands for?,"['American Chemistry council', 'American Chemistry Council']"
train_665,What is Task A?,['Fabricate Replica Baby Monitors']
train_666,What does the Figure 3 show?,"['Makerbot Flammability warning video', 'Makerbot flammability warning video']"
train_667,What is the date mentioned?,"['August 3, 2016']"
train_668,How many steps Prioritization Process is shown?,"['Two-step', 'Two-Step']"
train_669,In the Second Tier the Ranking Ordering are within which groups?,"['Priority groups', 'Priority Groups', 'Priority']"
train_670,What is the heading of the picture shown?,['Risk-Based Prioritization Matrix']
train_671,What is the alternative given for Biomonitoring?,['Environmental Monitoring']
train_672,What is the heading of the document?,"['American Chemistry council', 'American Chemistry Council']"
train_673,What is the date mentioned?,"['january 28, 2013', 'January 28, 2013']"
train_674,To whom is this email addressed?,"['Drs. Cowden and Lee', 'John Cowden, Ph.D.', 'Docket_ORD@epa.gov; cowden.john@epa.gov; lee.janices@epagov']"
train_675,What is the full form ACC?,"['American Chemistry council', 'American Chemistry Council']"
train_676,By whom is this ethics agreement written?,['Michael L. Dourson']
train_677,From which Publishing Platform did the author receive royalties for sales of his three books?,['CreateSpace Independent Publishing Platform']
train_678,The authors wife is a sole proprietor of which firm?,"['her law firm', 'law firm', 'Martha C. Dourson, LLC.']"
train_679,Name the first book written by the author among the three?,"[""Messiah's Star (Evidence for Faith) (Volume 1)""]"
train_680,What two are the degree of independent verification and peer review?,"['variability, uncertainty']"
train_681,Who agrees that the term WoE has meant different things to different groups?,['ACC']
train_682,Who does not provide information regarding the quality of the individual?,['EPA']
train_683,What is the name of the second point?,['Weight of the Evidence (WoE)']
train_684,What is the date mentioned in the bottom?,"['August 29, 2011']"
train_685,What is the heading of the point B?,['Exposure Potential Ranking']
train_686,Together how many elements are used to make rank exposure potential?,"['3 elements', '3']"
train_687,The proposed approach applies the most to which year's TSCA Inventory Update Reporting rule?,['2006']
train_688,What is the fullform of ACC?,"['American Chemistry Council', 'The American Chemistry Council']"
train_689,what does acc stands for?,"['The American Chemistry Council', 'american chemistry council', 'American Chemistry Council']"
train_690,"In which year, EPA held a Stakeholder Dialogue on prioritization?",['2011']
train_691,By whom is this document written?,"['Nancy B. Beck', 'Nancy B. Beck, Ph.D., DABT']"
train_692,What is the date mentioned?,"['June 9, 2017']"
train_693,To whom is this document addressed?,['Wendy Cleland-Hamnett']
train_694,What is the subject of the memorandum?,['Recusal Statement']
train_695,Why ACC developed a two-step quantitative and qualitative tool?,"['to ""proof test"" our prioritization principles', 'to ""proof test"" our prioritization principles (attachement B)']"
train_696,What is the heading of the letter?,['American Chemistry Council']
train_697,What is the date mentioned?,"['March 20, 2017']"
train_698,By whom is this letter written?,['Sarah Brozena']
train_699,What is the main heading of the document?,['Scientific Review of the Proposed Risk Assessment Bulletin from the Office of Management and Budget']
train_700,What is the abbreviation of Toxic Substances Control Act?,['TSCA']
train_701,Where is The National Academic Press located?,"['Washington, D.C.']"
train_702,What did ACC strongly supported?,"[""supported Congress's efforts to update & reform TSCA"", ""Congress's efforts to update and reform TSCA""]"
train_703,what is the regulation for amended toxic substances control act?,['7562']
train_704,Why is it neccessary to consider IUR information within a particular priority grouping?,"['for second tier rank ordering', 'for Second Tier rank ordering']"
train_705,In which number should Karyn M. Schmidt be contacted?,['202-249-6130']
train_706,Which age group foes the IUR definition target?,"['targets children age 14 and younger', 'children age 14 and younger', 'age 14 and younger']"
train_707,What would have de minimis exposure potential by definition?,['non-isolated system intermediates']
train_708,"On what basis, an initial screening approach for chemical prioritization is done?","['based upon consistent application of specific hazard and exposure science elements that define risk potential', 'based upon consistent application of specific hazard and exposure science elements that define risk potential.', 'consistent application of specific hazard and exposure science elements that define risk potential']"
train_709,What does Section 26(h) set out?,"['scientific standards that apply to every ""decision based on science""']"
train_710,"Under which section, EPA carries out risk evaluation?","['section 6', 'under Section 6']"
train_711,What is the fullform of SCIL?,['Safer Chemicals Ingredients List']
train_712,What is the page no mentioned in this document?,['16']
train_713,What is the subheading given in this document?,"[""EPA's Abuse of Discretion Argument""]"
train_714,Which agency can designate a chemical as a high priority?,['EPA']
train_715,What is the page no mentioned in this document?,['16']
train_716,What is the date mentioned in this document?,['June 2006']
train_717,What is the name of the council?,"['Natural Resources Defense Council', 'Natura l Re so urc e s De fe nse Co unc il']"
train_718,What is the issued date of this document?,"['June 15, 2006']"
train_719,Who is the addressee of this letter?,"['Dr. Nancy Beck', 'Dr. Beck']"
train_720,What is the fullform of NRDC?,['Natural Resources Defense Council']
train_721,What kind of organization is NRDC?,['a national non-profit public interest organization']
train_722,What is the subject line of this letter?,['Re:    NRDC Comments on the OMB Proposed Risk Assessment Bulletin']
train_723,which contact number is provided in this letter?,['202-249-6130']
